Experiment,Size of the batches,Type of the shipping box,Cycle time factor,Number of the operators,Type of the quality check,Percentage of the quality check,Overshooting,Elapsed time,Used rods,Used raw bases,Used pins,Outcome - All,Outcome - OK,Outcome - NOK,Used retail boxes,Used shipper boxes,Used pallets,Reached the required amount,Difference from the required - OK,Difference from the required - All,Used electricity - T100,Used electricity - T200,Used electricity - T800,Income,Outgo,Profit,Machine T100 - Waiting for MU,Machine T100 - Processing,Machine T100 - Failed,Machine T100 - Setting up,Machine T200 - Waiting for MU,Machine T200 - Processing,Machine T200 - Failed,Machine T200 - Setting up,Machine T800 - Waiting for MU,Machine T800 - Processing,Machine T800 - Failed,Machine T800 - Setting up,Operator 01 - Waiting for job,Operator 01 - On the way,Operator 01 - Processing,Operator 01 - Repairing,Operator 01 - Setting up,Operator 01 - Inspectioning,Operator 02 - Waiting for job,Operator 02 - On the way,Operator 02 - Processing,Operator 02 - Repairing,Operator 02 - Setting up,Operator 02 - Inspectioning,Operator 03 - Waiting for job,Operator 03 - On the way,Operator 03 - Processing,Operator 03 - Repairing,Operator 03 - Setting up,Operator 03 - Inspectioning,Robot 01 - Free,Robot 01 - Moving,Robot 01 - Waiting during task,Robot 01 - Processing,Robot 01 - Exchanging,Robot 01 - Taking down,Robot 01 - Picking up,Robot 02 - Free,Robot 02 - Moving,Robot 02 - Waiting during task,Robot 02 - Processing,Robot 02 - Exchanging,Robot 02 - Taking down,Robot 02 - Picking up
Exp 2322,2,1,-0.1,1,1,0.8,0.1,10:17:12,414,1100,3300,992,974,18,992,56,3,99,-26,-8,55.41,44.92,63.83,4741.76,6895.13,-2153.37,9065.695,25740.000,2214.305,0.000,11886.153,20865.600,2213.247,2055.000,5430.174,29652.000,1937.826,0.000,16448.976,8512.618,5274.000,4729.406,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13212.000,15872.000,0.000,0.000,0.000,3968.000,3968.000,35398.443,1285.557,0.000,0.000,0.000,168.000,168.000
Exp 6066,3,3,0.0,1,1,0.8,0.1,10:05:05,415,1100,3300,990,974,16,990,33,5,99,-26,-10,57.60,46.72,64.48,4732.20,6888.60,-2156.40,5950.264,28600.000,1749.736,0.000,10480.137,23200.000,1389.863,1230.000,2682.120,32019.000,1598.880,0.000,20068.275,6406.463,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12540.000,15840.000,0.000,0.000,0.000,3960.000,3960.000,35343.000,759.000,0.000,0.000,0.000,99.000,99.000
Exp 3762,2,3,-0.1,1,1,0.8,0.1,10:17:12,414,1100,3300,992,974,18,992,34,5,99,-26,-8,55.41,44.92,63.83,4741.76,6901.05,-2159.29,9065.695,25740.000,2214.305,0.000,11886.153,20865.600,2213.247,2055.000,5430.174,29652.000,1937.826,0.000,16448.976,8512.618,5274.000,4729.406,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13212.000,15872.000,0.000,0.000,0.000,3968.000,3968.000,36036.443,779.557,0.000,0.000,0.000,102.000,102.000
Exp 5657,3,2,0.2,1,2,0.8,0.0,14:18:56,375,1000,3000,977,974,3,977,41,3,99,-26,-23,59.80,48.30,65.82,4670.06,6830.24,-2160.18,20189.804,31200.000,90.196,0.000,24992.297,25200.000,177.703,1110.000,16785.654,34343.400,350.946,0.000,22368.438,5328.865,4257.000,357.097,1110.000,18058.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28049.666,15620.334,0.000,0.000,0.000,3906.000,3904.000,50320.000,920.000,0.000,0.000,0.000,120.000,120.000
Exp 4622,3,1,0.0,1,1,0.6,0.1,09:56:17,415,1100,3300,1013,974,39,1013,57,3,99,-26,13,57.60,46.72,63.04,4842.14,7003.82,-2161.68,5465.234,28600.000,1694.766,0.000,10036.677,23200.000,1293.323,1230.000,2780.497,31305.000,1674.503,0.000,19508.140,6426.599,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11448.000,16208.000,0.000,0.000,0.000,4052.000,4052.000,34114.604,1306.396,0.000,0.000,0.000,171.000,168.000
Exp 5338,3,2,0.0,1,1,0.4,0.1,09:57:00,415,1100,3300,1047,974,73,1047,44,3,99,-26,47,57.60,46.72,61.58,5004.66,7167.40,-2162.74,5601.770,28600.000,1618.230,0.000,9940.974,23200.000,1449.026,1230.000,3428.195,30576.000,1815.805,0.000,19504.115,6490.624,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10692.000,16752.000,0.000,0.000,0.000,4188.000,4188.000,34544.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 5515,3,2,0.1,1,2,0.8,0.2,17:00:51,450,1200,3600,1158,1151,7,1158,49,4,1,151,158,66.73,53.90,73.58,5535.24,7700.63,-2165.39,24987.194,34320.000,1892.806,0.000,31034.235,27720.000,1110.765,1335.000,20584.178,37842.600,2773.222,0.000,23764.332,6667.735,5102.000,2631.332,1335.000,21699.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33420.076,18519.924,0.000,0.000,0.000,4630.000,4630.000,59808.000,1104.000,0.000,0.000,0.000,144.000,144.000
Exp 6062,3,3,0.0,1,1,0.6,0.1,09:56:17,415,1100,3300,1013,974,39,1013,34,5,99,-26,13,57.60,46.72,63.04,4842.14,7008.23,-2166.09,5465.234,28600.000,1694.766,0.000,10036.677,23200.000,1293.323,1230.000,2780.497,31305.000,1674.503,0.000,19508.140,6426.599,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11448.000,16208.000,0.000,0.000,0.000,4052.000,4052.000,34781.604,777.396,0.000,0.000,0.000,102.000,99.000
Exp 3010,2,2,-0.2,3,2,0.4,0.1,08:08:21,414,1100,3300,1046,976,70,1046,44,3,99,-24,46,52.43,42.50,57.01,4999.88,7166.28,-2166.40,4053.461,22880.000,2346.539,0.000,6701.374,18547.200,1976.426,2055.000,2292.197,24876.600,2111.203,0.000,12790.448,4439.327,2469.000,2304.024,45.000,7232.200,19036.970,2409.628,1998.000,2262.002,1590.000,1983.400,25233.049,1155.129,799.000,1053.222,420.000,619.600,4176.000,16736.000,0.000,0.000,0.000,4184.000,4184.000,28015.063,1003.937,0.000,0.000,0.000,132.000,129.000
Exp 4795,3,1,0.1,1,2,0.8,0.2,17:00:51,450,1200,3600,1158,1151,7,1158,65,3,1,151,158,66.73,53.90,73.58,5535.24,7702.91,-2167.67,24987.194,34320.000,1892.806,0.000,31034.235,27720.000,1110.765,1335.000,20584.178,37842.600,2773.222,0.000,23764.332,6667.735,5102.000,2631.332,1335.000,21699.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33420.076,18519.924,0.000,0.000,0.000,4630.000,4630.000,59344.000,1472.000,0.000,0.000,0.000,192.000,192.000
Exp 6235,3,3,0.1,1,2,0.8,0.2,17:00:51,450,1200,3600,1158,1151,7,1158,39,5,1,151,158,66.73,53.90,73.58,5535.24,7703.84,-2168.60,24987.194,34320.000,1892.806,0.000,31034.235,27720.000,1110.765,1335.000,20584.178,37842.600,2773.222,0.000,23764.332,6667.735,5102.000,2631.332,1335.000,21699.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33420.076,18519.924,0.000,0.000,0.000,4630.000,4630.000,60098.000,874.000,0.000,0.000,0.000,114.000,114.000
Exp 4937,3,1,0.2,1,2,0.8,0.0,14:18:56,375,1000,3000,977,974,3,977,55,3,99,-26,-23,59.80,48.30,65.82,4670.06,6846.46,-2176.40,20189.804,31200.000,90.196,0.000,24992.297,25200.000,177.703,1110.000,16785.654,34343.400,350.946,0.000,22368.438,5328.865,4257.000,357.097,1110.000,18058.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28049.666,15620.334,0.000,0.000,0.000,3906.000,3904.000,49914.000,1242.000,0.000,0.000,0.000,162.000,162.000
Exp 4618,3,1,0.0,1,1,0.4,0.1,09:57:00,415,1100,3300,1047,974,73,1047,59,3,99,-26,47,57.60,46.72,61.58,5004.66,7184.77,-2180.11,5601.770,28600.000,1618.230,0.000,9940.974,23200.000,1449.026,1230.000,3428.195,30576.000,1815.805,0.000,19504.115,6490.624,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10692.000,16752.000,0.000,0.000,0.000,4188.000,4188.000,34109.000,1357.000,0.000,0.000,0.000,177.000,177.000
Exp 6377,3,3,0.2,1,2,0.8,0.0,14:18:56,375,1000,3000,977,974,3,977,33,5,99,-26,-23,59.80,48.30,65.82,4670.06,6852.17,-2182.11,20189.804,31200.000,90.196,0.000,24992.297,25200.000,177.703,1110.000,16785.654,34343.400,350.946,0.000,22368.438,5328.865,4257.000,357.097,1110.000,18058.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28049.666,15620.334,0.000,0.000,0.000,3906.000,3904.000,50552.000,736.000,0.000,0.000,0.000,96.000,96.000
Exp 6058,3,3,0.0,1,1,0.4,0.1,09:57:00,415,1100,3300,1047,974,73,1047,35,5,99,-26,47,57.60,46.72,61.58,5004.66,7187.88,-2183.22,5601.770,28600.000,1618.230,0.000,9940.974,23200.000,1449.026,1230.000,3428.195,30576.000,1815.805,0.000,19504.115,6490.624,4699.000,3896.261,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10692.000,16752.000,0.000,0.000,0.000,4188.000,4188.000,34805.000,805.000,0.000,0.000,0.000,105.000,105.000
Exp 2290,2,1,-0.2,3,2,0.4,0.1,08:08:27,414,1100,3300,1046,976,70,1046,59,3,99,-24,46,52.43,42.50,57.01,4999.88,7183.73,-2183.85,4053.461,22880.000,2346.539,0.000,6701.374,18547.200,1976.426,2055.000,2292.197,24876.600,2111.203,0.000,12790.448,4439.327,2469.000,2304.024,45.000,7232.200,19036.970,2409.628,1998.000,2262.002,1590.000,1983.400,25233.049,1155.129,799.000,1053.222,420.000,619.600,4176.000,16736.000,0.000,0.000,0.000,4184.000,4184.000,27586.063,1342.937,0.000,0.000,0.000,177.000,174.000
Exp 3730,2,3,-0.2,3,2,0.4,0.1,08:08:21,414,1100,3300,1046,976,70,1046,35,5,99,-24,46,52.43,42.50,57.01,4999.88,7186.76,-2186.88,4053.461,22880.000,2346.539,0.000,6701.374,18547.200,1976.426,2055.000,2292.197,24876.600,2111.203,0.000,12790.448,4439.327,2469.000,2304.024,45.000,7232.200,19036.970,2409.628,1998.000,2262.002,1590.000,1983.400,25233.049,1155.129,799.000,1053.222,420.000,619.600,4176.000,16736.000,0.000,0.000,0.000,4184.000,4184.000,28276.063,796.937,0.000,0.000,0.000,105.000,102.000
Exp 5659,3,2,0.2,1,2,0.8,0.2,17:06:10,450,1200,3600,1173,1169,4,1173,49,4,1,169,173,71.76,57.96,79.14,5606.94,7894.17,-2287.23,23974.721,37440.000,145.279,0.000,29807.297,30240.000,177.703,1335.000,19827.721,41292.000,440.279,0.000,26686.692,6393.870,5102.000,468.638,1335.000,21573.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33408.000,18768.000,0.000,0.000,0.000,4692.000,4692.000,60139.951,1126.049,0.000,0.000,0.000,147.000,147.000
Exp 4939,3,1,0.2,1,2,0.8,0.2,17:06:10,450,1200,3600,1173,1169,4,1173,66,3,1,169,173,71.76,57.96,79.14,5606.94,7897.96,-2291.02,23974.721,37440.000,145.279,0.000,29807.297,30240.000,177.703,1335.000,19827.721,41292.000,440.279,0.000,26686.692,6393.870,5102.000,468.638,1335.000,21573.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33408.000,18768.000,0.000,0.000,0.000,4692.000,4692.000,59646.951,1517.049,0.000,0.000,0.000,198.000,198.000
Exp 6379,3,3,0.2,1,2,0.8,0.2,17:06:10,450,1200,3600,1173,1169,4,1173,40,5,1,169,173,71.76,57.96,79.14,5606.94,7899.10,-2292.16,23974.721,37440.000,145.279,0.000,29807.297,30240.000,177.703,1335.000,19827.721,41292.000,440.279,0.000,26686.692,6393.870,5102.000,468.638,1335.000,21573.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33408.000,18768.000,0.000,0.000,0.000,4692.000,4692.000,60400.951,919.049,0.000,0.000,0.000,120.000,120.000
Exp 3074,2,2,-0.1,2,1,0.0,0.1,08:42:59,414,1100,3300,1100,974,126,1100,46,3,99,-26,100,55.41,44.92,57.54,5258.00,7556.90,-2298.90,3566.932,25740.000,2013.068,0.000,6707.852,20865.600,1691.548,2055.000,2920.064,26730.000,1669.936,0.000,18261.332,5679.708,3432.391,3676.569,270.000,0.000,24676.476,1974.687,1831.000,1052.837,1785.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4940.754,17586.000,0.000,0.000,0.000,4397.246,4396.000,30015.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3208,2,2,0.0,1,2,0.6,0.3,17:00:10,489,1300,3900,1237,1204,33,1237,52,4,1,204,237,68.07,55.10,74.40,5912.86,8222.72,-2309.86,24470.720,33800.000,2929.280,0.000,29277.848,27360.000,2132.152,2430.000,21702.197,36945.000,2552.803,0.000,20512.100,9876.191,6235.000,4524.909,2430.000,17621.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31512.000,19792.000,0.000,0.000,0.000,4948.000,4948.000,59692.761,1195.239,0.000,0.000,0.000,156.000,156.000
Exp 2488,2,1,0.0,1,2,0.6,0.3,17:00:10,489,1300,3900,1237,1204,33,1237,69,3,1,204,237,68.07,55.10,74.40,5912.86,8226.15,-2313.29,24470.720,33800.000,2929.280,0.000,29277.848,27360.000,2132.152,2430.000,21702.197,36945.000,2552.803,0.000,20512.100,9876.191,6235.000,4524.909,2430.000,17621.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31512.000,19792.000,0.000,0.000,0.000,4948.000,4948.000,59199.761,1586.239,0.000,0.000,0.000,207.000,207.000
Exp 2354,2,1,-0.1,2,1,0.0,0.1,08:43:06,414,1100,3300,1100,974,126,1100,62,3,99,-26,100,55.41,44.92,57.54,5258.00,7575.59,-2317.59,3626.932,25740.000,2013.068,0.000,6767.852,20865.600,1691.548,2055.000,2980.064,26730.000,1669.936,0.000,18318.723,5679.708,3435.000,3676.569,270.000,0.000,24736.476,1974.687,1831.000,1052.837,1785.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4980.000,17600.000,0.000,0.000,0.000,4400.000,4400.000,29582.000,1426.000,0.000,0.000,0.000,186.000,186.000
Exp 3794,2,3,-0.1,2,1,0.0,0.1,08:42:59,414,1100,3300,1100,974,126,1100,37,5,99,-26,100,55.41,44.92,57.54,5258.00,7577.56,-2319.56,3566.932,25740.000,2013.068,0.000,6707.852,20865.600,1691.548,2055.000,2920.064,26730.000,1669.936,0.000,18261.332,5679.708,3432.391,3676.569,270.000,0.000,24676.476,1974.687,1831.000,1052.837,1785.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4940.754,17586.000,0.000,0.000,0.000,4397.246,4396.000,30276.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 3928,2,3,0.0,1,2,0.6,0.3,17:00:10,489,1300,3900,1237,1204,33,1237,42,6,1,204,237,68.07,55.10,74.40,5912.86,8242.20,-2329.34,24470.720,33800.000,2929.280,0.000,29277.848,27360.000,2132.152,2430.000,21702.197,36945.000,2552.803,0.000,20512.100,9876.191,6235.000,4524.909,2430.000,17621.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31512.000,19792.000,0.000,0.000,0.000,4948.000,4948.000,59982.761,965.239,0.000,0.000,0.000,126.000,126.000
Exp 3352,2,2,0.1,1,2,0.6,0.3,17:03:52,489,1300,3900,1246,1231,15,1246,52,4,1,231,246,72.29,58.52,78.49,5955.88,8288.34,-2332.46,22229.591,37180.000,1970.409,0.000,27586.645,30096.000,1267.355,2430.000,19435.321,40368.000,1576.679,0.000,22873.941,9640.602,6235.000,2700.457,2430.000,17500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31489.207,19926.793,0.000,0.000,0.000,4982.000,4982.000,59901.000,1173.000,0.000,0.000,0.000,153.000,153.000
Exp 5438,3,2,0.0,3,1,0.6,0.1,09:40:40,415,1100,3300,1025,975,50,1025,43,3,99,-25,25,57.60,46.72,62.92,4899.50,7233.37,-2333.87,4593.506,28600.000,1606.494,0.000,9032.702,23200.000,1337.298,1230.000,2117.177,31242.000,1440.823,0.000,24372.548,4211.928,3214.000,2986.524,15.000,0.000,30562.402,1314.392,1199.000,689.207,1035.000,0.000,33682.974,438.496,278.000,220.531,180.000,0.000,10201.604,16398.396,0.000,0.000,0.000,4100.000,4100.000,33582.000,966.000,0.000,0.000,0.000,126.000,126.000
Exp 2632,2,1,0.1,1,2,0.6,0.3,17:03:52,489,1300,3900,1246,1231,15,1246,70,3,1,231,246,72.29,58.52,78.49,5955.88,8293.28,-2337.40,22229.591,37180.000,1970.409,0.000,27586.645,30096.000,1267.355,2430.000,19435.321,40368.000,1576.679,0.000,22873.941,9640.602,6235.000,2700.457,2430.000,17500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31489.207,19926.793,0.000,0.000,0.000,4982.000,4982.000,59379.000,1587.000,0.000,0.000,0.000,207.000,207.000
Exp 4718,3,1,0.0,3,1,0.6,0.1,09:40:40,415,1100,3300,1025,975,50,1025,57,3,99,-25,25,57.60,46.72,62.92,4899.50,7249.35,-2349.85,4593.506,28600.000,1606.494,0.000,9032.702,23200.000,1337.298,1230.000,2117.177,31242.000,1440.823,0.000,24372.548,4211.928,3214.000,2986.524,15.000,0.000,30562.402,1314.392,1199.000,689.207,1035.000,0.000,33682.974,438.496,278.000,220.531,180.000,0.000,10201.604,16398.396,0.000,0.000,0.000,4100.000,4100.000,33176.000,1288.000,0.000,0.000,0.000,168.000,168.000
Exp 4072,2,3,0.1,1,2,0.6,0.3,17:03:52,489,1300,3900,1246,1231,15,1246,42,6,1,231,246,72.29,58.52,78.49,5955.88,8307.82,-2351.94,22229.591,37180.000,1970.409,0.000,27586.645,30096.000,1267.355,2430.000,19435.321,40368.000,1576.679,0.000,22873.941,9640.602,6235.000,2700.457,2430.000,17500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31489.207,19926.793,0.000,0.000,0.000,4982.000,4982.000,60191.000,943.000,0.000,0.000,0.000,123.000,123.000
Exp 6158,3,3,0.0,3,1,0.6,0.1,09:40:40,415,1100,3300,1025,975,50,1025,35,5,99,-25,25,57.60,46.72,62.92,4899.50,7255.48,-2355.98,4593.506,28600.000,1606.494,0.000,9032.702,23200.000,1337.298,1230.000,2117.177,31242.000,1440.823,0.000,24372.548,4211.928,3214.000,2986.524,15.000,0.000,30562.402,1314.392,1199.000,689.207,1035.000,0.000,33682.974,438.496,278.000,220.531,180.000,0.000,10201.604,16398.396,0.000,0.000,0.000,4100.000,4100.000,33814.000,782.000,0.000,0.000,0.000,102.000,102.000
Exp 3211,2,2,0.0,1,2,0.8,0.2,17:07:38,450,1200,3600,1136,1129,7,1136,48,3,1,129,136,62.83,50.75,69.71,5430.08,7790.86,-2360.78,27791.226,31200.000,2628.774,0.000,32354.662,25200.000,1830.338,2235.000,23613.234,34614.000,3392.766,0.000,18739.911,9106.516,5742.000,4065.973,2235.000,21730.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34356.000,18176.000,0.000,0.000,0.000,4544.000,4544.000,60256.447,1081.553,0.000,0.000,0.000,141.000,141.000
Exp 5661,3,2,0.2,1,2,1.0,0.0,15:39:05,375,1000,3000,980,980,0,980,41,3,99,-20,-20,59.80,48.30,66.93,4684.40,7053.81,-2369.41,25000.204,31200.000,139.796,0.000,29852.297,25200.000,177.703,1110.000,20984.061,34922.400,433.539,0.000,22514.156,5301.747,4257.000,357.097,1110.000,22800.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32820.000,15680.000,0.000,0.000,0.000,3920.000,3920.000,55151.000,943.000,0.000,0.000,0.000,123.000,123.000
Exp 1381,1,2,0.2,2,2,0.6,0.0,10:20:11,375,1000,3000,979,971,8,979,41,3,99,-29,-21,59.80,48.30,64.95,4679.62,7057.09,-2377.47,5934.529,31200.000,65.471,0.000,6177.644,25200.000,212.356,5610.000,3126.736,33887.400,185.864,0.000,14056.341,7544.068,3951.000,144.791,840.000,10663.800,21565.140,4249.354,3482.000,212.306,4770.000,2921.200,0.000,0.000,0.000,0.000,0.000,0.000,13704.000,15664.000,0.000,0.000,0.000,3916.000,3916.000,36012.784,941.216,0.000,0.000,0.000,123.000,123.000
Exp 2491,2,1,0.0,1,2,0.8,0.2,17:07:38,450,1200,3600,1136,1129,7,1136,64,3,1,129,136,62.83,50.75,69.71,5430.08,7809.26,-2379.18,27791.226,31200.000,2628.774,0.000,32354.662,25200.000,1830.338,2235.000,23613.234,34614.000,3392.766,0.000,18739.911,9106.516,5742.000,4065.973,2235.000,21730.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34356.000,18176.000,0.000,0.000,0.000,4544.000,4544.000,59792.447,1449.553,0.000,0.000,0.000,189.000,189.000
Exp 3931,2,3,0.0,1,2,0.8,0.2,17:07:38,450,1200,3600,1136,1129,7,1136,38,5,1,129,136,62.83,50.75,69.71,5430.08,7809.98,-2379.90,27791.226,31200.000,2628.774,0.000,32354.662,25200.000,1830.338,2235.000,23613.234,34614.000,3392.766,0.000,18739.911,9106.516,5742.000,4065.973,2235.000,21730.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34356.000,18176.000,0.000,0.000,0.000,4544.000,4544.000,60546.447,851.553,0.000,0.000,0.000,111.000,111.000
Exp 0758,1,2,-0.2,1,2,0.6,0.1,16:39:43,413,1100,3300,1027,993,34,1027,43,3,99,-7,27,52.43,42.39,57.71,4909.06,7293.70,-2384.64,32861.503,22880.000,4198.497,0.000,32377.981,18496.000,2886.019,6180.000,31460.452,25183.800,3295.748,0.000,8313.527,16915.377,8189.000,5474.696,6180.000,14867.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35296.727,16429.273,0.000,0.000,0.000,4108.000,4106.000,58722.000,966.000,0.000,0.000,0.000,126.000,126.000
Exp 4941,3,1,0.2,1,2,1.0,0.0,15:39:05,375,1000,3000,980,980,0,980,55,3,99,-20,-20,59.80,48.30,66.93,4684.40,7070.03,-2385.63,25000.204,31200.000,139.796,0.000,29852.297,25200.000,177.703,1110.000,20984.061,34922.400,433.539,0.000,22514.156,5301.747,4257.000,357.097,1110.000,22800.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32820.000,15680.000,0.000,0.000,0.000,3920.000,3920.000,54745.000,1265.000,0.000,0.000,0.000,165.000,165.000
Exp 5084,3,2,-0.2,1,2,0.8,0.3,17:02:57,490,1300,3900,1192,1180,12,1192,50,4,1,180,192,61.97,50.23,68.65,5697.76,8085.15,-2387.39,29370.510,27040.000,4909.490,0.000,35103.104,21920.000,2841.896,1455.000,26185.502,29955.000,5179.498,0.000,16408.549,7964.429,5522.628,6352.794,1455.000,23616.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32730.395,19059.605,0.000,0.000,0.000,4766.000,4764.000,59899.000,1127.000,0.000,0.000,0.000,147.000,147.000
Exp 5804,3,3,-0.2,1,2,0.8,0.3,17:02:57,490,1300,3900,1192,1180,12,1192,40,5,1,180,192,61.97,50.23,68.65,5697.76,8088.45,-2390.69,29370.510,27040.000,4909.490,0.000,35103.104,21920.000,2841.896,1455.000,26185.502,29955.000,5179.498,0.000,16408.549,7964.429,5522.628,6352.794,1455.000,23616.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32730.395,19059.605,0.000,0.000,0.000,4766.000,4764.000,60189.000,897.000,0.000,0.000,0.000,117.000,117.000
Exp 4364,3,1,-0.2,1,2,0.8,0.3,17:02:57,490,1300,3900,1192,1180,12,1192,67,3,1,180,192,61.97,50.23,68.65,5697.76,8088.82,-2391.06,29370.510,27040.000,4909.490,0.000,35103.104,21920.000,2841.896,1455.000,26185.502,29955.000,5179.498,0.000,16408.549,7964.429,5522.628,6352.794,1455.000,23616.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32730.395,19059.605,0.000,0.000,0.000,4766.000,4764.000,59406.000,1518.000,0.000,0.000,0.000,198.000,198.000
Exp 6381,3,3,0.2,1,2,1.0,0.0,15:39:05,375,1000,3000,980,980,0,980,33,5,99,-20,-20,59.80,48.30,66.93,4684.40,7075.74,-2391.34,25000.204,31200.000,139.796,0.000,29852.297,25200.000,177.703,1110.000,20984.061,34922.400,433.539,0.000,22514.156,5301.747,4257.000,357.097,1110.000,22800.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32820.000,15680.000,0.000,0.000,0.000,3920.000,3920.000,55383.000,759.000,0.000,0.000,0.000,99.000,99.000
Exp 0661,1,1,0.2,2,2,0.6,0.0,10:20:11,375,1000,3000,979,971,8,979,55,3,99,-29,-21,59.80,48.30,64.95,4679.62,7073.31,-2393.69,5934.529,31200.000,65.471,0.000,6177.644,25200.000,212.356,5610.000,3126.736,33887.400,185.864,0.000,14056.341,7544.068,3951.000,144.791,840.000,10663.800,21565.140,4249.354,3482.000,212.306,4770.000,2921.200,0.000,0.000,0.000,0.000,0.000,0.000,13704.000,15664.000,0.000,0.000,0.000,3916.000,3916.000,35606.784,1263.216,0.000,0.000,0.000,165.000,165.000
Exp 2101,1,3,0.2,2,2,0.6,0.0,10:20:11,375,1000,3000,979,971,8,979,33,5,99,-29,-21,59.80,48.30,64.95,4679.62,7079.02,-2399.40,5934.529,31200.000,65.471,0.000,6177.644,25200.000,212.356,5610.000,3126.736,33887.400,185.864,0.000,14056.341,7544.068,3951.000,144.791,840.000,10663.800,21565.140,4249.354,3482.000,212.306,4770.000,2921.200,0.000,0.000,0.000,0.000,0.000,0.000,13704.000,15664.000,0.000,0.000,0.000,3916.000,3916.000,36244.784,757.216,0.000,0.000,0.000,99.000,99.000
Exp 0038,1,1,-0.2,1,2,0.6,0.1,16:39:49,413,1100,3300,1027,993,34,1027,58,3,99,-7,27,52.43,42.39,57.71,4909.06,7311.21,-2402.15,32861.503,22880.000,4198.497,0.000,32377.981,18496.000,2886.019,6180.000,31460.452,25183.800,3295.748,0.000,8313.527,16915.377,8189.000,5474.696,6180.000,14867.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35302.727,16425.273,0.000,0.000,0.000,4106.000,4106.000,58296.727,1304.273,0.000,0.000,0.000,171.000,168.000
