Experiment,Size of the batches,Type of the shipping box,Cycle time factor,Number of the operators,Type of the quality check,Percentage of the quality check,Overshooting,Elapsed time,Used rods,Used raw bases,Used pins,Outcome - All,Outcome - OK,Outcome - NOK,Used retail boxes,Used shipper boxes,Used pallets,Reached the required amount,Difference from the required - OK,Difference from the required - All,Used electricity - T100,Used electricity - T200,Used electricity - T800,Income,Outgo,Profit,Machine T100 - Waiting for MU,Machine T100 - Processing,Machine T100 - Failed,Machine T100 - Setting up,Machine T200 - Waiting for MU,Machine T200 - Processing,Machine T200 - Failed,Machine T200 - Setting up,Machine T800 - Waiting for MU,Machine T800 - Processing,Machine T800 - Failed,Machine T800 - Setting up,Operator 01 - Waiting for job,Operator 01 - On the way,Operator 01 - Processing,Operator 01 - Repairing,Operator 01 - Setting up,Operator 01 - Inspectioning,Operator 02 - Waiting for job,Operator 02 - On the way,Operator 02 - Processing,Operator 02 - Repairing,Operator 02 - Setting up,Operator 02 - Inspectioning,Operator 03 - Waiting for job,Operator 03 - On the way,Operator 03 - Processing,Operator 03 - Repairing,Operator 03 - Setting up,Operator 03 - Inspectioning,Robot 01 - Free,Robot 01 - Moving,Robot 01 - Waiting during task,Robot 01 - Processing,Robot 01 - Exchanging,Robot 01 - Taking down,Robot 01 - Picking up,Robot 02 - Free,Robot 02 - Moving,Robot 02 - Waiting during task,Robot 02 - Processing,Robot 02 - Exchanging,Robot 02 - Taking down,Robot 02 - Picking up
Exp 2342,2,1,-0.1,1,2,0.6,0.1,14:05:05,414,1100,3300,1033,1004,29,1033,58,3,1,4,33,55.41,44.92,61.14,4937.74,4522.70,415.04,21836.104,25740.000,3123.896,0.000,25509.951,20865.600,2269.449,2055.000,19643.010,28398.600,2658.390,0.000,15370.047,8547.947,5282.000,4729.406,2055.000,14715.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25908.000,16528.000,0.000,0.000,0.000,4132.000,4132.000,49018.000,1334.000,0.000,0.000,0.000,174.000,174.000
Exp 3370,2,2,0.1,2,1,0.4,0.1,10:22:38,414,1100,3300,1067,1024,43,1067,45,3,1,24,67,61.17,49.59,66.17,5100.26,4686.01,414.25,4985.987,31460.000,874.013,0.000,8845.690,25502.400,916.910,2055.000,2331.033,34032.000,956.967,0.000,25964.435,6016.586,3686.000,1442.979,210.000,0.000,31516.722,1444.873,1572.000,941.405,1845.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11712.000,17072.000,0.000,0.000,0.000,4268.000,4268.000,36043.688,1012.312,0.000,0.000,0.000,132.000,132.000
Exp 5363,3,2,0.0,1,2,0.4,0.2,13:46:17,450,1200,3600,1162,1104,58,1162,49,4,1,104,162,62.83,50.75,67.82,5554.36,5140.11,414.25,16192.569,31200.000,2167.431,0.000,21657.265,25200.000,1367.735,1335.000,13729.031,33675.000,2155.969,0.000,21360.736,7009.291,5102.000,4065.973,1335.000,10687.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21672.000,18592.000,0.000,0.000,0.000,4648.000,4648.000,48146.672,1122.328,0.000,0.000,0.000,147.000,144.000
Exp 3903,2,3,0.0,1,1,0.6,0.2,11:27:51,450,1200,3600,1127,1082,45,1127,38,5,1,82,127,62.83,50.75,70.13,5387.06,4973.74,413.32,8090.490,31200.000,1929.510,0.000,12333.232,25200.000,1451.768,2235.000,4616.858,34824.000,1779.142,0.000,20084.935,9092.092,5742.000,4065.973,2235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14184.002,18023.998,0.000,0.000,0.000,4506.000,4506.000,40147.000,851.000,0.000,0.000,0.000,111.000,111.000
Exp 3907,2,3,0.0,1,1,0.8,0.2,11:36:20,450,1200,3600,1101,1077,24,1101,37,5,1,77,101,62.83,50.75,71.65,5262.78,4849.58,413.20,8649.265,31200.000,1910.735,0.000,12877.056,25200.000,1447.944,2235.000,4369.047,35580.000,1810.953,0.000,20605.056,9111.971,5742.000,4065.973,2235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15336.000,17616.000,0.000,0.000,0.000,4404.000,4404.000,40697.767,843.233,0.000,0.000,0.000,111.000,108.000
Exp 3119,2,2,-0.1,2,2,1.0,0.2,10:24:53,450,1200,3600,1137,1137,0,1137,48,3,1,137,137,60.45,48.83,68.71,5434.86,5022.15,412.71,6903.839,28080.000,2456.161,0.000,10455.063,22680.000,2069.937,2235.000,3497.358,31918.800,2023.842,0.000,8737.592,4638.649,2364.000,3118.960,600.000,17980.800,17114.697,4047.505,3378.000,1885.597,1635.000,9379.200,0.000,0.000,0.000,0.000,0.000,0.000,10166.318,18182.000,0.000,0.000,0.000,4546.000,4545.682,36077.000,1081.000,0.000,0.000,0.000,141.000,141.000
Exp 5666,3,2,0.2,2,1,0.0,0.1,10:32:37,415,1100,3300,1080,1030,50,1080,45,3,1,30,80,65.78,53.36,67.07,5162.40,4749.70,412.70,3543.289,34320.000,56.711,0.000,8655.434,27840.000,194.566,1230.000,2709.446,34992.000,218.554,0.000,29539.616,4199.598,3671.000,359.786,150.000,0.000,34747.714,1024.370,1028.000,39.917,1080.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12000.000,17280.000,0.000,0.000,0.000,4320.000,4320.000,36642.688,1013.312,0.000,0.000,0.000,132.000,132.000
Exp 2094,1,3,0.2,2,2,0.2,0.1,11:05:47,413,1100,3300,1084,1047,37,1084,37,5,1,47,84,65.78,53.18,69.24,5181.52,4768.87,412.65,5511.503,34320.000,68.497,0.000,5760.142,27744.000,215.858,6180.000,3546.830,36123.600,229.570,0.000,21245.163,8907.137,4593.000,365.100,780.000,4009.600,26241.358,3673.039,3604.000,34.603,5400.000,947.000,0.000,0.000,0.000,0.000,0.000,0.000,13892.206,17338.000,0.000,0.000,0.000,4335.794,4334.000,38856.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 4954,3,1,0.2,2,1,0.4,0.1,10:48:22,415,1100,3300,1062,1037,25,1062,59,3,1,37,62,65.78,53.36,69.62,5076.36,4663.95,412.41,4503.289,34320.000,56.711,0.000,9623.866,27840.000,186.134,1230.000,2325.079,36324.000,230.921,0.000,30475.876,4336.421,3593.000,399.703,75.000,0.000,35480.744,1138.256,1106.000,0.000,1155.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13392.000,16992.000,0.000,0.000,0.000,4248.000,4248.000,37181.277,1347.723,0.000,0.000,0.000,177.000,174.000
Exp 4643,3,1,0.0,1,2,0.4,0.2,13:46:17,450,1200,3600,1162,1104,58,1162,65,3,1,104,162,62.83,50.75,67.82,5554.36,5142.39,411.97,16192.569,31200.000,2167.431,0.000,21657.265,25200.000,1367.735,1335.000,13729.031,33675.000,2155.969,0.000,21360.736,7009.291,5102.000,4065.973,1335.000,10687.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21672.000,18592.000,0.000,0.000,0.000,4648.000,4648.000,47682.672,1490.328,0.000,0.000,0.000,195.000,192.000
